TBCA Oxota,OOH Oxota,Buy m.o. Oxota,Trial Oxota,Unaided Oxota,Consider T1 Oxota,OOH freq,Instore freq,Bar freq,Volume,Media coverage,WOM +ve,WOM =,Experience +ve,Experience =
0,0,0,1,0,0,0,3,0,4,0,0,0,1,0
0,0,0,1,1,0,0,0.5,0,4,0,0,0,1,0
0,0,0,1,1,0,300.636,1.2,0,4,0,0,0,0,0
0,0,0,1,1,0,0,2,0,4,0,0,0,0,0
0,0,1,1,1,1,0,5,0,7.5,0,0,0,1,0
1,0,0,1,0,0,89.19642857,5.5,0,4,0,0,0,1,0
0,0,0,1,0,0,162.711,4.5,0,4,0,0,0,1,0
0,0,0,1,1,0,765.702,3.25,0,7.5,0,1,0,1,0
0,0,0,1,0,0,0,0.5,0,4,0,0,0,1,0
1,1,0,1,0,0,207.711,3,0,3,1,0,0,0,1
1,1,0,1,0,0,0,2.4,0,1.5,0,0,0,0,0
0,0,0,1,0,0,0,1.5,0,2,0,0,0,0,0
1,0,0,1,0,0,0,0.2,0,2.5,0,0,0,0,0
1,0,0,1,1,1,0,1.8,0,1.5,0,0,0,1,0
1,0,0,1,0,0,0,1.25,0,2.5,0,1,0,0,1
0,0,0,1,0,0,0,0.65,0,10,0,0,0,0,0
1,0,1,1,0,0,0,0.125,0,4.5,1,0,0,0,1
0,0,1,1,1,1,0,1,0,4.5,0,0,0,1,0
0,0,0,0,0,0,0,4.275,0,1.5,0,0,0,0,0
0,0,0,0,0,0,0,0.2,0,1.5,0,0,0,0,0
1,0,1,1,1,1,0,16,0,10,1,1,0,1,0
0,0,0,1,0,0,0,4.75,0,7.5,0,0,0,1,0
0,0,0,0,0,0,0,0.6,0,3.5,0,0,0,0,0
0,0,0,1,1,0,0,0.25,0,1.5,0,0,0,1,0
1,0,0,1,0,0,0,0.375,0,9,0,0,0,1,0
0,0,0,0,0,0,0,0.8,0,1.5,0,0,0,0,0
1,0,0,1,0,0,0,1.625,0,0.5,0,0,0,0,0
1,0,0,1,0,0,0,4.5,0,1.5,0,0,0,0,1
1,0,0,1,0,0,0,1.1,0,1.5,0,0,0,0,1
1,0,0,1,0,0,0,0.85,0,1.5,0,0,0,1,0
1,0,0,1,1,0,0,9.25,0,1.5,0,0,1,1,0
1,0,1,1,1,1,0,8,0,4.5,0,1,0,1,0
1,0,0,1,1,1,0,12.55,0,7.5,0,0,1,0,1
1,0,0,0,0,0,0,4,0,1.5,1,1,0,1,0
